hyperparameter,value,accuracy,consistency,error,inconsistency
n_estimators,10,0.743353176353766,0.9758745463796062,0.25664682364623403,0.024125453620393755
n_estimators,50,0.7451713652167703,0.9828400994682589,0.2548286347832297,0.0171599005317411
n_estimators,100,0.746166291424849,0.9802306933072609,0.253833708575151,0.01976930669273913
n_estimators,150,0.7467004982356767,0.9790145615722068,0.25329950176432325,0.020985438427793213
n_estimators,200,0.7459280235709332,0.9782626843178575,0.25407197642906676,0.021737315682142544
max_depth,3,0.6121461550758214,0.9604174371153716,0.3878538449241786,0.03958256288462836
max_depth,5,0.6950705768926995,0.975277489890955,0.30492942310730053,0.024722510109045026
max_depth,10,0.746166291424849,0.9802306933072609,0.253833708575151,0.01976930669273913
max_depth,15,0.7589508963321397,0.9800538977919876,0.24104910366786025,0.019946102208012406
max_depth,20,0.7623236352550016,0.9737075030762938,0.23767636474499843,0.026292496923706166
max_depth,None,0.7638957916588621,0.9604615944309118,0.23610420834113788,0.039538405569088164
min_samples_split,2,0.746166291424849,0.9802306933072609,0.253833708575151,0.01976930669273913
min_samples_split,5,0.746136970081891,0.9787934718270656,0.25386302991810905,0.021206528172934447
min_samples_split,10,0.7449913659071049,0.9811153799042527,0.2550086340928951,0.018884620095747318
min_samples_split,15,0.7456350709144709,0.9808277718000005,0.2543649290855291,0.01917222819999953
min_samples_split,20,0.7460639026456487,0.9810930726484536,0.2539360973543513,0.01890692735154642
criterion,gini,0.746166291424849,0.9802306933072609,0.253833708575151,0.01976930669273913
criterion,entropy,0.7439314991748917,0.9813364060820279,0.25606850082510835,0.01866359391797212
max_features,sqrt,0.746166291424849,0.9802306933072609,0.253833708575151,0.01976930669273913
max_features,log2,0.7379542498259217,0.9716509496353313,0.2620457501740783,0.028349050364668726
max_features,None,0.7593809373819379,0.9945823147274098,0.2406190626180621,0.005417685272590234
